CLIENTE;STATUSx;STATUS;IDADE;BIDADE_1;BIDADE_2;BIDADE_3;BIDADE_4;UNIFED;BSTATE_SP;BSTATE_RJ;FONE;BFONE;INSTRU;BINST_PR_SEC;BINST_SUP;CARTAO;BCARD;RESTR;BRESTR;RESID;BRESID;ATRASO;FICCAO;BFIX;NAOFICCAO;BNOFIX;AUTOAJUDA;BAUTAJ;CATEG
LDOR_0001;MAU;MAU;26;0;0;0;0;SP;1;0;SIM;1;PRIM & SEC;1;0;SIM;1;SIM;1;PROP;1;41;SIM;1;NAO;0;SIM;1;1
LDOR_0002;MAU;MAU;43;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;NAO;0;SIM;1;ALUG;0;40;NAO;0;NAO;0;SIM;1;1
LDOR_0003;BOM;BOM;33;1;0;0;0;OUTROS;0;0;SIM;1;SUP;0;1;NAO;0;SIM;1;PROP;1;3;SIM;1;NAO;0;NAO;0;0
LDOR_0004;BOM;BOM;39;1;1;0;0;RJ;0;1;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;1
LDOR_0005;BOM;BOM;43;1;1;0;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;0;SIM;1;NAO;0;NAO;0;1
LDOR_0006;BOM;BOM;40;1;1;0;0;RJ;0;1;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;1;SIM;1;NAO;0;SIM;1;1
LDOR_0007;MAU;MAU;39;1;1;0;0;SP;1;0;SIM;1;SUP;0;1;MV;0;NAO;0;PROP;1;32;SIM;1;NAO;0;NAO;0;0
LDOR_0008;BOM;BOM;50;1;1;1;0;SP;1;0;SIM;1;MV;0;0;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;0
LDOR_0009;BOM;BOM;51;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;SIM;1;PROP;1;1;SIM;1;NAO;0;NAO;0;0
LDOR_0010;BOM;BOM;45;1;1;1;0;OUTROS;0;0;SIM;1;PRIM & SEC;1;0;SIM;1;NAO;0;PROP;1;4;SIM;1;NAO;0;NAO;0;0
LDOR_0011;BOM;BOM;67;1;1;1;1;OUTROS;0;0;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;5;NAO;0;NAO;0;NAO;0;0
LDOR_0012;MAU;MAU;34;1;0;0;0;RJ;0;1;SIM;1;MV;0;0;NAO;0;NAO;0;PROP;1;42;NAO;0;NAO;0;SIM;1;0
LDOR_0013;BOM;BOM;49;1;1;1;0;OUTROS;0;0;NÃO;0;PRIM & SEC;1;0;NAO;0;NAO;0;PROP;1;2;NAO;0;NAO;0;NAO;0;0
LDOR_0014;BOM;BOM;59;1;1;1;1;RJ;0;1;SIM;1;SUP;0;1;SIM;1;NAO;0;PROP;1;2;NAO;0;NAO;0;NAO;0;0
LDOR_0015;BOM;BOM;41;1;1;0;0;RJ;0;1;SIM;1;SUP;0;1;NAO;0;SIM;1;PROP;1;1;SIM;1;NAO;0;NAO;0;0
LDOR_0016;BOM;BOM;51;1;1;1;0;RJ;0;1;SIM;1;SUP;0;1;SIM;1;SIM;1;PROP;1;3;SIM;1;NAO;0;SIM;1;1
